student_id,skill,exercise_id,correct,hint_count,attempt_count,response_time,time_interval
61394,Rounding,365981,1,0,1,73,0
61394,Multiplication and Division Integers,426415,0,0,1,29,0
61394,Proportion,86686,1,0,1,82,0
76592,Exponents,401234,1,0,1,68,0
78401,Equation Solving Two or Fewer Steps,87699,1,0,1,115,0
78409,Equation Solving Two or Fewer Steps,88297,1,0,1,74,0
78409,Venn Diagram,93198,1,0,1,43,0
80145,Addition and Subtraction Fractions,86648,1,0,1,44,0
80145,Combining Like Terms,248623,0,0,1,208,0
80145,Unit Rate,185941,0,0,1,102,0
80439,Write Linear Equation from Graph,423114,1,0,1,50,0
82250,Write Linear Equation from Ordered Pairs,167337,1,0,1,82,0
85969,Median,91132,1,0,1,114,0
85969,Equation Solving More Than Two Steps,163256,0,3,2,129,0
86324,Square Root,401322,1,0,1,9,0
88027,Exponents,403755,1,0,1,35,0
88027,Finding y-intercept from Linear Equation,404999,0,3,4,206,0
88027,Parallel and Perpendicular Lines,404966,1,0,1,197,0
92680,Distributive Property,187122,0,0,3,103,0
92680,Percent Of,221928,1,0,1,43,0
92680,Multiplication Fractions,54117,1,0,1,57,0
92680,Write Linear Equation from Graph,423114,1,0,1,21,0
92685,Equation Solving Two or Fewer Steps,94696,1,0,1,148,0
92685,Median,91094,1,0,1,419,0
92685,Multiplication Fractions,54141,1,0,1,85,0
92685,Percent Of,222003,1,0,1,74,0
92685,Addition and Subtraction Integers,89896,0,0,1,64,0
92685,Congruence,88948,1,0,1,59,0
92706,Multiplying non Monomial Polynomials,219323,0,0,2,144,0
92707,"Order of Operations +,-,/,* () positive reals",84589,1,0,1,40,0
92707,Write Linear Equation from Graph,423019,1,0,1,65,0
92707,Recognize Linear Pattern,122261,1,0,1,62,0
92709,Finding Slope From Equation,129627,1,0,1,63,0
92709,Proportion,86638,0,0,1,145,0
92709,Write Linear Equation from Ordered Pairs,167359,0,4,3,278,0
92709,Complementary and Supplementary Angles,88892,1,0,1,61,0
92710,Addition and Subtraction Integers,89905,1,0,1,61,0
92710,Proportion,87290,1,0,1,69,0
